CENTRE NAME,SERVICE CODE,PHONE NUMBER,LATITUDE,LONGITUDE,SERVICE DAY,HALL,CAMPUS,APOSTLE,Apostleship
LEGON CENTRAL,0029,233203376874,5.648242,-0.188344,WEDNESDAY,LEGON SOUTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
SARBAH,0024,233204408073,5.645571,-0.187045,THURSDAY,SARBAH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LIMANN,0030,233205882006,5.66314,-0.179665,WEDNESDAY,LIMANN,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
LEGON LIMANN OIGO,0546,233208197579,5.663599,-0.181578,WEDNESDAY,LIMANN,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
LEGON AKUAFO EAST,0539,233208763398,5.649995,-0.183469,WEDNESDAY,AKUAFO,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
AKUAFO WEST,0426,233240675454,5.649995,-0.183469,THURSDAY,AKUAFO,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
JEAN NELSON,0031,233242157615,5.66314,-0.179665,WEDNESDAY,JEAN NELSON,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
LEGON ELIZABETH SEY EAST,0108,233244139809,5.637274,-0.186079,WEDNESDAY,ELIZABETH SEY,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
LEGON COMMONWEALTH THE LORD'S TEMPLE,0541,233246588555,5.65048,-0.192256,WEDNESDAY,COMMONWEALTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
KWAPONG BETHEL,0247,233249212565,5.635512,-0.188507,WEDNESDAY,KWAPONG,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
COMMONWEALTH,0059,233249943901,5.653805,-0.190357,WEDNESDAY,COMMONWEALTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
AKUAFO NORTH,0190,233262703354,5.650334,-0.184794,THURSDAY,AKUAFO,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
ELIZABETH SEY,0027,233262847882,5.663104,-0.181578,THURSDAY,ELIZABETH SEY,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
SARBAH CENTRAL,0198,233264222728,5.645571,-0.187045,THURSDAY,SARBAH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON COMMONWEALTH PARAKLETOS,0537,233264355165,5.653805,-0.190357,THURSDAY,COMMONWEALTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
ALEX KWAPONG NORTH,0194,233268743425,5.637415,-0.184411,WEDNESDAY,KWAPONG,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
LIMANN EAST,0195,233269861706,5.659002,-0.181713,THURSDAY,LIMANN,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
AKUAFO,0060,233270425853,5.649995,-0.183469,THURSDAY,AKUAFO,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
SARBAH SOUTH,0109,233273764634,5.645571,-0.187045,TUESDAY,SARBAH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON SARBAH ALLOS,0545,233274884187,5.645571,-0.187045,WEDNESDAY,SARBAH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON LIMANN ALLOS,0554,233506066369,5.637415,-0.184411,WEDNESDAY,LIMANN,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
LEGON HALL SOUTH,0203,233508810848,5.648242,-0.188344,THURSDAY,LEGON SOUTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON SARBAH ANNEX C MUSTARD SEED,0538,233543681707,5.645571,-0.187045,WEDNESDAY,SARBAH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON KWAPONG SOUTH,0548,233547715151,5.63708,-0.184411,THURSDAY,KWAPONG,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
SARBAH NORTH,0235,233548294499,5.647105,-0.187571,WEDNESDAY,SARBAH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
KWAPONG/ISH,0025,233549499409,5.636179,-0.187243,THURSDAY,KWAPONG,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
COMMONWEALTH NORTH,0196,233550303319,5.650875,-0.191281,THURSDAY,COMMONWEALTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON ELIZABETH SEY 3,0542,233551415118,5.658645,-0.180808,WEDNESDAY,ELIZABETH SEY,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
AKUAFO CENTRAL,0114,233553226958,5.649995,-0.183469,WEDNESDAY,AKUAFO,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON EAST,0116,233557386295,5.650796,-0.193486,THURSDAY,LEGON SOUTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON HALL ANNEX A,0197,233557396845,5.649995,-0.183469,WEDNESDAY,LEGON SOUTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
VOLTA,0107,233558149177,5.650244,0.190081,THURSDAY,VOLTA,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
AKUAFO OTHERS,0427,233559221769,5.647085,-0.185474,THURSDAY,AKUAFO,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON SARBAH FRUITFUL,0540,233559875482,5.645571,-0.187045,THURSDAY,SARBAH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
COMMONWEALTH BUILDER'S CHAPEL,0252,233570195450,5.650392,-0.192559,WEDNESDAY,COMMONWEALTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON LIMANN NORTH,0115,233573622525,5.637274,-0.186079,WEDNESDAY,LIMANN,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
VOLTA EAST,0199,233575356789,5.650146,-0.189289,THURSDAY,VOLTA,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
JEAN NELSON WEST,0111,0,0,0,THURSDAY,JEAN NELSON,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
JEAN NELSON POIMANO,0547,0,0,0,THURSDAY,JEAN NELSON,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
TESHIE NMTC CENTRE,0013,0,0,0,THURSDAY,TESHIE,TESHIE NMTC,Baah,Emmanuel Opoku Baah
FAMILY HEALTH CENTRE,0468,0,0,0,THURSDAY,FAMILY HEALTH,TESHIE FAMILY HEALTH,Baah,Emmanuel Opoku Baah
LEGON ANNEX A,TC0052,233201450174,5.647802,-0.188588,THURSDAY,LEGON HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
PENTAGON BLOCK B,TC0044,233202817314,5.658783,-0.182074,THURSDAY,PENTAGON 2 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
TF,TC0005,233203738218,5.666528,-0.182037,WEDNESDAY,TF GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
PENTAGON BLOCK C,TC0006,233204311722,5.6584,-0.181,THURSDAY,PENTAGON 2 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
OLD PENTAGON,TC0023,233205823929,5.6565,-0.1813,WEDNESDAY,PENTAGON 1 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
JEAN NELSON 1,TC0014,233206653712,5.6353,-0.1886,THURSDAY,JEAN NELSON GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
ALEX KWAPONG 2,TC0053,233207275164,5.639012,-0.186176,WEDNESDAY,ALEX KWAPONG GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
