CENTRE NAME,SERVICE CODE,PHONE NUMBER,LATITUDE,LONGITUDE,SERVICE DAY,COMMUNITY,TOWN,APOSTLE
LATERBIOKORSHIE MUSTARD SEED,421,2.33E+11,5.548161,-0.238761,THURSDAY,LATERBIOKORSHIE,BRITISH ACCRA,Opoku
DANSOMAN LAST STOP,118,2.33E+11,5.5317962,-0.258399,THURSDAY,DANSOMAN SOUTH ,DANSOMAN,Opoku
KB JAMESTOWN FRUITFUL,513,2.33E+11,5.539235,-0.21356,THURSDAY,JAMES TOWN ,BRITISH ACCRA,Opoku
TN CHORKOR NOT A NOVICE,50,2.33E+11,5.5372584,-0.2321646,THURSDAY,JAMES TOWN,BRITISH ACCRA,Opoku
DANSOMAN BANANA INN,117,2.33E+11,5.5429,0.2549,THURSDAY,DANSOMAN SOUTH ,DANSOMAN,Opoku
KB LATERBIOKORSHIE AYIGBE TOWN,519,2.33E+11,5.551928,-0.232441,THURSDAY,LATERBIOKORSHIE,BRITISH ACCRA,Opoku
DANSOMAN ROUNDABOUT,64,2.33E+11,5.5593,-0.2417,THURSDAY,DANSOMAN WEST ,DANSOMAN,Opoku
KB JAMESTOWN BLOSSOM,517,2.33E+11,5.53486,-0.231889,THURSDAY,JAMES TOWN ,BRITISH ACCRA,Opoku
KB MAMPROBI JOY,459,2.33E+11,5.53534,-0.23988,THURSDAY,,BRITISH ACCRA,Opoku
DANSOMAN LAST STOP BEACH ROAD,345,2.33E+11,5.5274,-0.2638,THURSDAY,DANSOMAN SOUTH ,DANSOMAN,Opoku
KB KORLE GONNO BERNADO,511,2.33E+11,5.53486,-0.231889,THURSDAY,BRITISH ACCRA WEST ,BRITISH ACCRA,Opoku
TN KORLE GONNO HEALING PRESENCE,20,2.33E+11,5.535896,-0.226463,WEDNESDAY,BRITISH ACCRA WEST ,BRITISH ACCRA,Opoku
DANSOMAN TUNGA,294,2.33E+11,5.548053,-0.263911,THURSDAY,DANSOMAN SOUTH ,DANSOMAN,Opoku
ST. KAROLS,48,2.33E+11,0,0,THURSDAY,APLAKU,KASOA,Opoku
DANSOMAN B-OPOKU,400,2.33E+11,5.555266,-0.264584,THURSDAY,DANSOMAN WEST ,DANSOMAN,Opoku
AP ADABRAKA MARKET CENTRE,411,2.33E+11,5.564365,-0.210261,THURSDAY,ADABRAKA,ADABRAKA,Opoku
TN KASOA,14,2.33E+11,5.5303573,-0.4077162,THURSDAY,KASOA MAIN ,KASOA,Opoku
DANSOMAN RUSSIA MARS,340,2.33E+11,5.567131,-0.256948,THURSDAY,DANSOMAN CENTRAL ,DANSOMAN,Opoku
BUBUASHIE,173,2.33E+11,5.580488,-0.247974,THURSDAY,DANSOMAN NORTH ,DANSOMAN,Opoku
AP KOKOMLEMLE,143,2.33E+11,5.575523,-0.204528,WEDNESDAY,ADABRAKA,ADABRAKA,Opoku
AWOSHIE,86,2.33E+11,0,0,THURSDAY,ODORKOR,ODORKOR,Opoku
AP ADABRAKA CHAMPION,369,2.33E+11,5.560585,-0.210261,THURSDAY,ADABRAKA,ADABRAKA,Opoku
DANSOMAN EBENEZER DOWN,344,2.33E+11,5.5285,-0.2723,THURSDAY,DANSOMAN SOUTH ,DANSOMAN,Opoku
KB KORLE GONNO CHARIS,508,2.33E+11,5.534725,-0.232894,THURSDAY,BRITISH ACCRA WEST ,BRITISH ACCRA,Opoku
AP AGBOGBLOSHIE GIRLS HOSTEL,492,2.33E+11,5.551448,-0.215965,THURSDAY,ADABRAKA,ADABRAKA,Opoku
TN JAMESTOWN FAITH,19,2.33E+11,5.536889,-0.210972,WEDNESDAY,JAMES TOWN,BRITISH ACCRA,Opoku
METHODIST UNI AREA,176,2.33E+11,5.573618,-0.252935,THURSDAY,DANSOMAN CENTRAL ,DANSOMAN,Opoku
DANSOMAN KEEP FIT,532,2.33E+11,5.557057,-0.272763,THURSDAY,DANSOMAN WEST ,DANSOMAN,Opoku
KB JAMESTOWN MEGA CENTRE,515,2.33E+11,5.534294,-0.211316,WEDNESDAY,,BRITISH ACCRA,Opoku
KB AMPLIFY ANAGKAZO HOSTEL,438,2.33E+11,5.535896,-0.226463,WEDNESDAY,BRITISH ACCRA WEST ,BRITISH ACCRA,Opoku
DANSOMAN RUSSIA 2,343,2.34E+11,5.556541,-0.251227,THURSDAY,DANSOMAN EAST ,DANSOMAN,Opoku
KASOA MILLENIUM CITY,533,2.34E+11,5.4929863,-0.4106727,THURSDAY,NYANYANO ,KASOA,Opoku
ODORKOR,569,2.34E+11,5.587584,-0.263946,THURSDAY,ODORKOR,ODORKOR,Opoku
AP ARTS CENTRE,465,2.34E+11,5.54683,-0.201866,THURSDAY,ADABRAKA,ADABRAKA,Opoku
DANSOMAN SAHARA,177,2.34E+11,5.552293,-0.260795,FRIDAY,DANSOMAN CENTRAL ,DANSOMAN,Opoku
KB KANESHIE,454,2.34E+11,5.567872,-0.244585,THURSDAY,LATERBIOKORSHIE,BRITISH ACCRA,Opoku
KASOA AMERICAN DOWN,281,2.34E+11,5.5146251,-0.4194613,THURSDAY,NYANYANO ,KASOA,Opoku
AP ASYLUM DOWN ESTATE,490,2.34E+11,5.569618,-0.20657,THURSDAY,ADABRAKA,ADABRAKA,Opoku
SAKAMAN CENTRE,69,2.34E+11,5.5722,-0.2727,THURSDAY,DANSOMAN WEST ,DANSOMAN,Opoku
KB LATERBIOKORSHIE VICTORY,137,2.34E+11,5.5519284,-0.2420021,THURSDAY,LATERBIOKORSHIE,BRITISH ACCRA,Opoku
KASOA TETEGU,257,2.34E+11,5.555755,-0.309885,WEDNESDAY,WEIJA ,KASOA,Opoku
KASOA MCCARTHY,382,2.34E+11,5.5698182,-0.2870336,THURSDAY,WEIJA ,KASOA,Opoku
KB KORLE GONNO FRUITFUL,457,2.34E+11,5.535896,-0.226463,THURSDAY,BRITISH ACCRA WEST ,BRITISH ACCRA,Opoku
KB MAMPROBI,179,2.34E+11,5.54618,-0.245938,THURSDAY,BRITISH ACCRA EAST ,BRITISH ACCRA,Opoku
ODORKOR / BUSIA,47,2.34E+11,5.5801,-0.267367,THURSDAY,DANSOMAN WEST ,DANSOMAN,Opoku
KORLE GONNA BARCELONA JUNCTION,130,2.34E+11,5.53189,-0.229309,THURSDAY,BRITISH ACCRA WEST ,BRITISH ACCRA,Opoku
SSNIT FLATS,175,2.34E+11,5.562484,-0.271894,THURSDAY,DANSOMAN WEST ,DANSOMAN,Opoku
AP ASYLUM DOWN,273,2.34E+11,5.569927,-0.205486,WEDNESDAY,ADABRAKA,ADABRAKA,Opoku
KB ABOSSEY OKAI,512,2.34E+11,5.559555,-0.233989,THURSDAY,BRITISH ACCRA WEST ,BRITISH ACCRA,Opoku
KB USSHER FORT,358,2.34E+11,5.534294,-0.211316,WEDNESDAY,JAMES TOWN ,BRITISH ACCRA,Opoku
MATAHEKO CAMPUS,174,2.34E+11,5.565305,-0.243391,THURSDAY,DANSOMAN EAST ,DANSOMAN,Opoku
LIBERIA CAMP,119,2.34E+11,5.52284,-0.47426,THURSDAY,KASOA MAIN,KASOA,Opoku
AP ADABRAKA ATP,142,2.34E+11,5.553225,-0.208329,WEDNESDAY,ADABRAKA,ADABRAKA,Opoku
KB ACCRA CENTRAL,460,2.34E+11,5.534294,-0.211316,THURSDAY,JAMES TOWN ,BRITISH ACCRA,Opoku
KB JAMESTOWN ANOINTING,518,2.34E+11,5.5369,-0.210962,THURSDAY,,BRITISH ACCRA,Opoku
KASOA APLAKU,534,2.34E+11,5.52737,-0.3283,THURSDAY,APLAKU ,KASOA,Opoku
KB AGEGE KARIKARI,206,2.34E+11,5.5280318,-0.2596122,THURSDAY,,BRITISH ACCRA,Opoku
DANSOMAN SOUTH ODORKOR,341,2.34E+11,0,0,THURSDAY,DANSOMAN WEST ,DANSOMAN,Opoku
DARKUMAN CENTRE,73,2.34E+11,5.585889,-0.2595582,THURSDAY,DANSOMAN NORTH ,DANSOMAN,Opoku
KB GBESE,360,2.34E+11,5.539235,-0.21356,WEDNESDAY,JAMES TOWN ,BRITISH ACCRA,Opoku
ODORKOR AWOSHIE 2,555,2.34E+11,5.584849,-0.278133,THURSDAY,ODORKOR,ODORKOR,Opoku
AP ACCRA NEW TOWN,278,2.34E+11,5.587863,-0.208117,WEDNESDAY,ADABRAKA,ADABRAKA,Opoku
DANSOMAN HANSONIC,217,2.34E+11,5.573618,-0.252935,WEDNESDAY,DANSOMAN CENTRAL ,DANSOMAN,Opoku
DANSOMAN CRYSTAL BEAM,455,2.34E+11,5.563088,-0.242922,THURSDAY,DANSOMAN WEST ,DANSOMAN,Opoku
DANSOMAN MARSHALLS,565,2.34E+11,5.578471,-0.257226,WEDNESDAY,DANSOMAN NORTH,DANSOMAN,Opoku
KB AMPLIFY SOZO,433,2.34E+11,5.548243,-0.219499,WEDNESDAY,BRITISH ACCRA WEST ,BRITISH ACCRA,Opoku
KB AMPLIFY KORLE GONNO,432,2.34E+11,5.535896,-0.226463,THURSDAY,,BRITISH ACCRA,Opoku
DANSOMAN AKOKO PHOTO,229,2.34E+11,5.563681,-0.257471,THURSDAY,DANSOMAN EAST,DANSOMAN,Opoku
KB MAMPROBI SANTANA JOY,510,2.34E+11,5.5291442,-0.2476717,THURSDAY,BRITISH ACCRA EAST ,BRITISH ACCRA,Opoku
KB AGEGE ZONE 6,234,2.34E+11,5.54236,-0.249918,THURSDAY,BRITISH ACCRA EAST ,BRITISH ACCRA,Opoku
KB KORLE GONNO TELL THEM,509,2.34E+11,5.535896,-0.226463,THURSDAY,BRITISH ACCRA EAST ,BRITISH ACCRA,Opoku
MATAHEKO CENTRE,37,2.34E+11,5.570883,-0.254556,WEDNESDAY,DANSOMAN EAST ,DANSOMAN,Opoku
AP AGBOGBLOSHIE,276,2.34E+11,5.551448,-0.215965,THURSDAY,ADABRAKA,ADABRAKA,Opoku
